nces_id,district_name,city,state,region,high_need,rural,school_with_children_on_indian_land,bureau_funded_schools
2630360,Rudyard Area Schools,RUDYARD,MI ,5,Yes,No,Yes,No
2630390,Saginaw School District of the City of,SAGINAW,MI ,5,Yes,No,No,No
2630990,Sault Ste. Marie Area Schools,SAULT SAINTE MARIE,MI ,5,No,No,Yes,No
2632070,Sodus Township S/D #5,SODUS,MI ,5,Yes,No,No,No
2600012,St. Ignace Area Schools,SAINT IGNACE,MI ,5,No,No,Yes,No
2632880,St. Louis Public Schools,SAINT LOUIS,MI ,5,Yes,No,No,No
2632940,Standish-Sterling Community Schools,STANDISH,MI ,5,Yes,No,No,No
2633000,Stephenson Area Public Schools,STEPHENSON,MI ,5,No,Yes,No,No
2601104,Success Virtual Learning Centers of Michigan,Vestaburg,MI ,5,Not in SIAPE,Yes,No,No
2600019,Superior Central School District,EBEN JUNCTION,MI ,5,No,Yes,No,No
2633360,Suttons Bay Public Schools,SUTTONS BAY,MI ,5,No,No,Yes,No
2625350,Tahquamenon Area Schools,NEWBERRY,MI ,5,Yes,No,No,No
2633540,Taylor School District,TAYLOR,MI ,5,Yes,No,No,No
2600966,Three Lakes Academy,CURTIS,MI ,5,Not in SIAPE,Yes,No,No
2601120,Uplift Michigan Academy,STEPHENSON,MI ,5,Not in SIAPE,Yes,No,No
2634680,Van Dyke Public Schools,WARREN,MI ,5,Yes,No,No,No
2634710,Vassar Public Schools,VASSAR,MI ,5,Yes,No,No,No
2634920,Vestaburg Community Schools,VESTABURG,MI ,5,No,Yes,No,No
2635010,Wakefield-Marenisco School District,WAKEFIELD,MI ,5,Yes,No,No,No
2635040,Waldron Area Schools,WALDRON,MI ,5,No,Yes,No,No
2635130,Walkerville Public Schools,WALKERVILLE,MI ,5,Yes,Yes,No,No
2635340,Watersmeet Township School District,WATERSMEET,MI ,5,Yes,Yes,Yes,No
2635460,Watervliet School District,WATERVLIET,MI ,5,Yes,No,No,No
2600015,Wayne-Westland Community School District,WESTLAND,MI ,5,Yes,No,No,No
2635790,Wells Township School District,ARNOLD,MI ,5,Yes,Yes,No,No
2635850,West Branch-Rose City Area Schools,West Branch,MI ,5,Yes,Yes,No,No
2632910,West Iron County Public Schools,IRON RIVER,MI ,5,Yes,No,No,No
2611640,Westwood Community School District,DEARBORN HEIGHTS,MI ,5,Yes,No,No,No
2635970,Westwood Heights Schools,Flint,MI ,5,Yes,No,No,No
2636060,White Cloud Public Schools,WHITE CLOUD,MI ,5,Yes,No,No,No
2636240,Whitefish Township Schools,PARADISE,MI ,5,Yes,Yes,No,No
2636390,Whittemore-Prescott Area Schools,WHITTEMORE,MI ,5,Yes,Yes,No,No
2636480,Wolverine Community School District,WOLVERINE,MI ,5,Yes,Yes,No,No
2636630,Ypsilanti Community Schools,YPSILANTI,MI ,5,Yes,No,No,No
2700126,ADA-BORUP PUBLIC SCHOOL DISTRICT,ADA,MN,5,Not in SIAPE,Yes,No,No
5900166,Bug-O-Nay-Ge-Shig School,Bena,MN,5,Not in SIAPE,Yes,No,Yes
5900038,Circle of Life Academy,White Earth,MN,5,Not in SIAPE,Yes,No,Yes
5900135,Fond du Lac Ojibwe School,Cloquet,MN,5,Not in SIAPE,No,No,Yes
2700300,MINISINAAKWAANG LEADERSHIP ACADEMY,MCGREGOR,MN,5,Not in SIAPE,Yes,No,No
5900064,Nay-Ah-Shing School,Onamia,MN,5,Not in SIAPE,Yes,No,Yes
2700480,Ada-Borup-West Public Schools,ADA,MN ,5,No,Yes,No,No
2702730,ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN,MN ,5,No,Yes,No,No
2703300,ASHBY PUBLIC SCHOOL DISTRICT,ASHBY,MN ,5,No,Yes,No,No
2703540,BADGER PUBLIC SCHOOL DISTRICT,BADGER,MN ,5,No,Yes,No,No
2703570,BAGLEY PUBLIC SCHOOL DISTRICT,BAGLEY,MN ,5,No,Yes,Yes,No
2703750,BATTLE LAKE PUBLIC SCHOOL DISTRICT,BATTLE LAKE,MN ,5,No,Yes,No,No
2705430,BERTHA-HEWITT PUBLIC SCHOOL DIST.,BERTHA,MN ,5,Yes,Yes,No,No
