state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
CA,06,03090,Arena Union Elementary School District,305,64,20.98
CA,06,03180,Armona Union Elementary School District,"1,189",277,23.30
CA,06,91136,Aromas-San Juan Unified School District,"1,525",161,10.56
CA,06,03270,Arvin Union School District,"3,684","1,212",32.90
CA,06,03300,Atascadero Unified School District,"5,605",536,9.56
CA,06,03420,Atwater Elementary School District,"5,268","1,409",26.75
CA,06,03480,Auburn Union Elementary School District,"2,984",323,10.82
CA,06,03600,Azusa Unified School District,"11,222","1,883",16.78
CA,06,03610,Baker Valley Unified School District,124,33,26.61
CA,06,03630,Bakersfield City School District,"31,751","10,835",34.12
CA,06,03690,Baldwin Park Unified School District,"12,289","2,507",20.40
CA,06,03720,Ballard Elementary School District,128,9,7.03
CA,06,03750,Ballico-Cressey Elementary School District,283,58,20.49
CA,06,03780,Bangor Union Elementary School District,136,35,25.74
CA,06,03840,Banning Unified School District,"5,602","1,171",20.90
CA,06,03870,Banta Elementary School District,"1,381",78,5.65
CA,06,04020,Barstow Unified School District,"7,850","2,215",28.22
CA,06,04080,Bass Lake Joint Union Elementary School District,"1,035",268,25.89
CA,06,04110,Bassett Unified School District,"4,452",833,18.71
CA,06,04200,Bayshore Elementary School District,567,50,8.82
CA,06,04230,Bear Valley Unified School District,"2,681",597,22.27
CA,06,04260,Beardsley Elementary School District,"2,263",816,36.06
CA,06,04290,Beaumont Unified School District,"12,152","1,234",10.15
CA,06,04350,Bella Vista Elementary School District,344,41,11.92
CA,06,04500,Belleview Elementary School District,165,42,25.45
CA,06,04380,Bellevue Union School District,"2,759",360,13.05
CA,06,04440,Bellflower Unified School District,"14,487","2,146",14.81
CA,06,04530,Belmont-Redwood Shores Elementary School District,"4,785",116,2.42
CA,06,04560,Belridge Elementary School District,26,9,34.62
CA,06,04620,Benicia Unified School District,"4,318",231,5.35
CA,06,04650,Bennett Valley Union Elementary School District,713,54,7.57
CA,06,04740,Berkeley Unified School District,"10,758",811,7.54
CA,06,04800,Berryessa Union Elementary School District,"8,337",615,7.38
CA,06,04830,Beverly Hills Unified School District,"4,620",610,13.20
CA,06,04860,Big Creek Elementary School District,46,18,39.13
CA,06,04890,Big Lagoon Union Elementary School District,39,6,15.38
CA,06,91137,Big Oak Flat-Groveland Unified School District,533,119,22.33
CA,06,04950,Big Pine Unified School District,329,42,12.77
CA,06,04980,Big Springs Union Elementary School District,193,32,16.58
CA,06,00031,Big Sur Unified School District,51,11,21.57
CA,06,05010,Big Valley Joint Unified School District,226,50,22.12
CA,06,05040,Biggs Unified School District,718,132,18.38
CA,06,01409,Bishop Unified School District,"2,077",317,15.26
CA,06,05190,Bitterwater-Tully Union Elementary School District,37,7,18.92
CA,06,05220,Black Butte Union Elementary School District,326,72,22.09
CA,06,05240,Black Oak Mine Unified School District,"1,724",211,12.24
CA,06,05250,Blake Elementary School District,21,0,0.00
CA,06,05280,Blochman Union Elementary School District,77,15,19.48
CA,06,05400,Blue Lake Union Elementary School District,192,59,30.73
CA,06,05490,Bogus Elementary School District,25,8,32.00
CA,06,05520,Bolinas-Stinson Union Elementary School District,139,25,17.99
CA,06,05610,Bonita Unified School District,"10,128",906,8.95
CA,06,05640,Bonny Doon Union Elementary School District,219,17,7.76
CA,06,01426,Bonsall Unified School District,"3,239",257,7.93
CA,06,05700,Borrego Springs Unified School District,372,109,29.30
CA,06,05730,Bradley Union Elementary School District,38,5,13.16
CA,06,05790,Brawley Elementary School District,"4,239",924,21.80
CA,06,05820,Brawley Union High School District,"2,168",420,19.37
CA,06,05880,Brea-Olinda Unified School District,"7,237",444,6.14
CA,06,05910,Brentwood Union Elementary School District,"9,292",719,7.74
CA,06,05940,Bret Harte Union High School District,793,110,13.87
CA,06,06000,Bridgeville Elementary School District,59,23,38.98
CA,06,06030,Briggs Elementary School District,413,65,15.74
CA,06,06060,Brisbane Elementary School District,732,45,6.15
CA,06,06090,Brittan Elementary School District,456,64,14.04
CA,06,06100,Browns Elementary School District,115,17,14.78
CA,06,06270,Buckeye Union Elementary School District,"5,307",326,6.14
CA,06,06330,Buellton Union Elementary School District,710,72,10.14
CA,06,06360,Buena Park Elementary School District,"5,488",724,13.19
CA,06,06420,Buena Vista Elementary School District,58,12,20.69
CA,06,06450,Burbank Unified School District,"14,665","1,329",9.06
CA,06,06480,Burlingame Elementary School District,"3,669",169,4.61
CA,06,06510,Burnt Ranch Elementary School District,60,32,53.33
CA,06,06540,Burrel Union Elementary School District,88,19,21.59
CA,06,06570,Burton Elementary School District,"3,087",561,18.17
CA,06,06580,Butte Valley Unified School District,327,82,25.08
CA,06,06690,Butteville Union Elementary School District,214,27,12.62
