state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
CA,06,01332,Twin Rivers Unified School District,"36,516","8,113",22.22
CA,06,40260,Two Rock Union Elementary School District,153,4,2.61
CA,06,40300,Ukiah Unified School District,"7,074","1,320",18.66
CA,06,40320,Union Elementary School District,"6,692",212,3.17
CA,06,40380,Union Hill Elementary School District,212,36,16.98
CA,06,00016,Upland Unified School District,"12,971","1,407",10.85
CA,06,01442,Upper Lake Unified School District,"1,033",271,26.23
CA,06,40590,Vacaville Unified School District,"14,320","1,297",9.06
CA,06,91135,Val Verde Unified School District,"19,975","3,442",17.23
CA,06,40650,Valle Lindo Elementary School District,590,106,17.97
CA,06,40680,Vallecito Union Elementary School District,713,111,15.57
CA,06,40710,Vallecitos Elementary School District,203,38,18.72
CA,06,40740,Vallejo City Unified School District,"19,360","2,983",15.41
CA,06,00069,Valley Center-Pauma Unified School District,"4,464",638,14.29
CA,06,40800,Valley Home Joint Elementary School District,217,27,12.44
CA,06,40980,Ventura Unified School District,"18,642","2,123",11.39
CA,06,41040,Victor Elementary School District,"13,185","3,119",23.66
CA,06,36972,Victor Valley Union High School District,"19,648","4,122",20.98
CA,06,41130,Vineland Elementary School District,606,251,41.42
CA,06,41160,Visalia Unified School District,"34,794","6,013",17.28
CA,06,41190,Vista Unified School District,"24,489","2,829",11.55
CA,06,41220,Vista del Mar Union Elementary School District,45,11,24.44
CA,06,41250,Walnut Creek Elementary School District,"4,053",221,5.45
CA,06,41280,Walnut Valley Unified School District,"9,156","1,059",11.57
CA,06,00042,Warner Unified School District,209,36,17.22
CA,06,41400,Wasco Union Elementary School District,"4,076","1,042",25.56
CA,06,41430,Wasco Union High School District,"2,094",472,22.54
CA,06,41460,Washington Colony Elementary School District,354,88,24.86
CA,06,01415,Washington Unified School District,"2,745","1,022",37.23
CA,06,41580,Washington Unified School District,"9,343","1,326",14.19
CA,06,41610,Washington Union Elementary School District,505,23,4.55
CA,06,00063,Waterford Unified School District,"2,341",410,17.51
CA,06,41790,Waugh Elementary School District,559,29,5.19
CA,06,41820,Waukena Joint Union Elementary School District,162,26,16.05
CA,06,41880,Weaver Union Elementary School District,"2,890","1,039",35.95
CA,06,41980,Weed Union Elementary School District,383,103,26.89
CA,06,32550,West Contra Costa Unified School District,"39,147","5,841",14.92
CA,06,42000,West Covina Unified School District,"9,535","1,363",14.29
CA,06,42060,West Park Elementary School District,213,95,44.60
CA,06,42270,West Side Union Elementary School District,30,5,16.67
CA,06,02670,West Sonoma County Union High School District,"2,116",214,10.11
CA,06,42140,Western Placer Unified School District,"9,178",660,7.19
CA,06,42150,Westminster School District,"8,926","1,474",16.51
CA,06,42180,Westmorland Union Elementary School District,371,117,31.54
CA,06,42210,Westside Elementary School District,157,49,31.21
CA,06,42120,Westside Union Elementary School District,"8,703","1,242",14.27
CA,06,42300,Westwood Unified School District,246,58,23.58
CA,06,42330,Wheatland Elementary School District,"1,066",140,13.13
CA,06,42350,Wheatland Union High School District,931,77,8.27
CA,06,42420,Whitmore Union Elementary School District,50,7,14.00
CA,06,42450,Whittier City Elementary School District,"7,141",957,13.40
CA,06,42480,Whittier Union High School District,"12,864","1,449",11.26
CA,06,42510,William S. Hart Union High School District,"25,326","2,012",7.94
CA,06,42540,Williams Unified School District,"1,358",169,12.44
CA,06,42560,Willits Unified School District,"2,343",482,20.57
CA,06,42600,Willow Creek Elementary School District,69,18,26.09
CA,06,42630,Willow Grove Union Elementary School District,36,8,22.22
CA,06,42710,Willows Unified School District,"1,904",386,20.27
CA,06,42750,Wilmar Union Elementary School District,201,18,8.96
CA,06,42810,Wilsona Elementary School District,"1,500",513,34.20
CA,06,00034,Windsor Unified School District,"4,697",322,6.86
CA,06,42900,Winship Robbins Elementary School District,81,18,22.22
CA,06,42930,Winters Joint Unified School District,"1,755",212,12.08
CA,06,42960,Winton School District,"2,001",702,35.08
CA,06,01428,Wiseburn Unified School District,"2,372",159,6.70
CA,06,01418,Woodlake Unified School District,"2,366",601,25.40
CA,06,43080,Woodland Joint Unified School District,"11,734","1,198",10.21
CA,06,43140,Woodside Elementary School District,394,9,2.28
CA,06,43170,Woodville Elementary School District,463,137,29.59
CA,06,43200,Wright Elementary School District,"1,563",162,10.36
CA,06,00160,Yosemite Unified School District,"2,318",396,17.08
CA,06,43380,Yreka Union Elementary School District,"1,124",245,21.80
CA,06,43410,Yreka Union High School District,913,182,19.93
CA,06,43470,Yuba City Unified School District,"14,835","3,051",20.57
CA,06,43560,Yucaipa-Calimesa Joint Unified School District,"11,595","1,281",11.05
CO,08,01920,Academy School District 20,"24,050","1,144",4.76
CO,08,06900,Adams 12 Five Star Schools,"45,076","4,296",9.53
CO,08,01950,Adams County School District 14,"8,875","1,585",17.86
CO,08,02340,Adams-Arapahoe School District 28J,"40,642","7,506",18.47
CO,08,01980,Agate School District 300,126,15,11.90
CO,08,02010,Aguilar Reorganized School District 6,137,48,35.04
CO,08,02040,Akron School District R-1,428,59,13.79
CO,08,02070,Alamosa School District RE-11J,"2,858",625,21.87
CO,08,02190,Archuleta County School District 50-JT,"1,766",327,18.52
CO,08,02220,Arickaree School District R-2,67,10,14.93
CO,08,02260,Arriba-Flagler School District C-20,186,27,14.52
CO,08,02280,Aspen School District 1,"1,412",74,5.24
CO,08,02310,Ault-Highland School District RE-9,"1,434",178,12.41
CO,08,02400,Bayfield School District 10 JT-R,"1,547",135,8.73
CO,08,02430,Bennett School District 29-J,"1,405",160,11.39
CO,08,02460,Bethune School District R-5,114,13,11.40
CO,08,06600,Big Sandy School District 100J,345,38,11.01
CO,08,02490,Boulder Valley School District RE-2,"31,541","1,934",6.13
CO,08,02520,Branson Reorganized School District 82,38,6,15.79
CO,08,02550,Briggsdale School District RE-10,169,23,13.61
CO,08,02610,Brush School District RE-2J,"1,403",211,15.04
CO,08,02640,Buena Vista School District R-31,"1,027",110,10.71
CO,08,05640,Buffalo School District RE-4,165,24,14.55
CO,08,02670,Burlington School District RE-6J,804,134,16.67
CO,08,02700,Byers School District 32J,510,82,16.08
CO,08,02730,Calhan School District RJ-1,570,78,13.68
CO,08,02760,Campo School District RE-6,48,18,37.50
CO,08,02790,Cañon City School District RE-1,"4,041",705,17.45
CO,08,06360,Centennial School District R-1,256,88,34.38
CO,08,02850,Center School District 26-JT,621,162,26.09
CO,08,02880,Cheraw School District 31,150,34,22.67
CO,08,02910,Cherry Creek School District 5,"59,570","5,006",8.40
CO,08,00001,Cheyenne County School District RE-5,223,31,13.90
CO,08,02940,Cheyenne Mountain School District 12,"3,866",203,5.25
CO,08,03000,Clear Creek School District RE-1,975,108,11.08
CO,08,03060,Colorado Springs School District 11,"33,617","4,790",14.25
CO,08,03120,Cotopaxi School District RE-3,366,60,16.39
CO,08,03150,Creede School District,87,13,14.94
CO,08,03180,Cripple Creek-Victor School District RE-1,520,109,20.96
CO,08,03210,Crowley County School District RE-1-J,541,135,24.95
CO,08,07200,Custer County School District C-1,455,101,22.20
CO,08,03240,De Beque School District 49-JT,159,16,10.06
CO,08,03270,Deer Trail School District 26J,355,51,14.37
CO,08,03330,Delta County School District 50J,"4,784",896,18.73
CO,08,03360,Denver County School District 1,"93,181","14,167",15.20
CO,08,03420,Dolores County School District RE-2,373,59,15.82
CO,08,03390,Dolores School District RE-4A,606,117,19.31
CO,08,03450,Douglas County School District RE-1,"69,297","1,656",2.39
CO,08,03480,Durango School District 9-R,"5,406",545,10.08
CO,08,03510,Eads School District RE-1,208,38,18.27
CO,08,03540,Eagle County School District RE 50,"7,589",479,6.31
CO,08,04320,East Grand School District 2,"1,455",119,8.18
CO,08,05130,East Otero School District R-1,"1,585",412,25.99
CO,08,03600,Eaton School District RE-2,"2,471",234,9.47
CO,08,03630,Edison School District 54-JT,100,17,17.00
CO,08,03690,Elbert School District 200,264,31,11.74
CO,08,03720,Elizabeth School District,"2,820",149,5.28
CO,08,03750,Ellicott School District 22,"1,256",196,15.61
CO,08,03780,Englewood School District 1,"2,704",388,14.35
CO,08,03810,Estes Park School District R-3,"1,277",143,11.20
CO,08,04050,Fort Morgan School District RE-3,"3,327",501,15.06
CO,08,04080,Fountain School District 8,"7,986",828,10.37
CO,08,04110,Fowler School District R-4J,361,85,23.55
CO,08,03960,Fremont RE-2,"1,691",292,17.27
CO,08,03930,Frenchman School District RE-3,165,23,13.94
CO,08,04380,Garfield County School District 16,"1,435",220,15.33
CO,08,06240,Garfield School District RE-2,"5,614",642,11.44
CO,08,04740,Genoa-Hugo School District C-113,231,39,16.88
CO,08,04230,Gilpin County School District RE-1,318,27,8.49
CO,08,04290,Granada School District RE-1,167,47,28.14
CO,08,04410,Greeley School District 6,"23,584","3,825",16.22
CO,08,04470,Gunnison Watershed School District RE-1J,"2,120",225,10.61
CO,08,04500,Hanover School District 28,361,59,16.34
CO,08,04530,Harrison School District 2,"12,358","2,342",18.95
CO,08,04560,Haxtun School District RE-2J,317,64,20.19
CO,08,04590,Hayden School District RE-1,463,26,5.62
CO,08,06510,Hi-Plains School District R-23,106,32,30.19
CO,08,04620,Hinsdale County School District RE-1,94,14,14.89
CO,08,04650,Hoehne Reorganized School District 3,250,49,19.60
CO,08,04680,Holly School District RE-3,276,50,18.12
CO,08,04710,Holyoke School District RE-1J,636,83,13.05
CO,08,07080,Huerfano School District RE-1,714,204,28.57
CO,08,00018,Idalia School District RJ-3,134,17,12.69
CO,08,04770,Ignacio School District 11-JT,939,194,20.66
CO,08,04800,Jefferson County School District R-1,"82,534","5,618",6.81
CO,08,04830,Johnstown-Milliken School District RE-5J,"4,631",312,6.74
CO,08,04860,Julesburg School District RE-1,239,45,18.83
CO,08,04890,Karval School District RE-23,54,14,25.93
CO,08,04980,Kim Reorganized School District 88,46,8,17.39
CO,08,05010,Kiowa School District C-2,515,36,6.99
CO,08,05040,Kit Carson School District R-1,116,27,23.28
CO,08,05160,La Veta School District RE-2,144,37,25.69
CO,08,05190,Lake County School District R-1,"1,123",161,14.34
CO,08,05220,Lamar School District RE-2,"1,712",405,23.66
CO,08,05250,Las Animas School District RE-1,540,161,29.81
CO,08,05820,Lewis-Palmer School District 38,"7,435",314,4.22
CO,08,00019,Liberty School District J-4,72,15,20.83
CO,08,05280,Limon School District RE-4J,459,82,17.86
CO,08,05310,Littleton School District 6,"15,478",816,5.27
CO,08,05340,Lone Star School District 101,49,4,8.16
CO,08,05460,Mancos School District RE-6,434,58,13.36
CO,08,05490,Manitou Springs School District 14,909,97,10.67
CO,08,05520,Manzanola School District 3J,125,38,30.40
CO,08,05550,Mapleton School District 1,"6,294",922,14.65
CO,08,05580,McClave School District RE-2,134,22,16.42
CO,08,05610,Meeker School District RE1,715,76,10.63
CO,08,04350,Mesa County Valley School District 51,"24,282","3,125",12.87
CO,08,05670,Miami-Yoder School District 60-JT,429,96,22.38
CO,08,05730,Moffat County School District RE-1,"2,534",301,11.88
CO,08,05700,Moffat School District 2,190,67,35.26
CO,08,05760,Monte Vista School District C-8,"1,154",237,20.54
CO,08,03090,Montezuma-Cortez School District RE-1,"3,204",697,21.75
CO,08,05790,Montrose County School District RE-1J,"6,514","1,097",16.84
CO,08,06300,Mountain Valley School District RE-1,168,55,32.74
CO,08,05100,North Conejos School District RE-1J,863,175,20.28
CO,08,07050,North Park School District R-1,173,43,24.86
CO,08,05880,Norwood School District R-2J,230,27,11.74
CO,08,05940,Otis School District R-3,189,29,15.34
CO,08,05970,Ouray School District R-1,178,20,11.24
CO,08,03840,Park County School District RE-2,722,97,13.43
CO,08,04440,Pawnee School District RE-12,89,17,19.10
CO,08,06060,Peyton School District 23-JT,794,70,8.82
CO,08,06930,Plainview School District RE-2,46,7,15.22
CO,08,06030,Plateau School District RE-5,98,16,16.33
CO,08,03030,Plateau Valley School District 50,330,45,13.64
CO,08,02370,Platte Canyon School District 1,"1,265",102,8.06
CO,08,04950,Platte Valley School District RE-7,967,104,10.75
CO,08,03990,Poudre School District R-1,"31,565","2,874",9.11
CO,08,06720,Prairie School District RE-11,107,8,7.48
CO,08,07260,Primero Reorganized School District 2,84,26,30.95
CO,08,06090,Pritchett School District RE-3,54,19,35.19
CO,08,06120,Pueblo City School District 60,"18,501","3,766",20.36
CO,08,06150,Pueblo County School District 70,"9,665","1,120",11.59
CO,08,06180,Rangely School District RE-4,481,56,11.64
CO,08,06000,Revere School District,114,19,16.67
CO,08,06210,Ridgway School District R-2,348,18,5.17
CO,08,04260,Roaring Fork School District RE-1,"6,160",567,9.20
CO,08,06270,Rocky Ford School District R-2,923,256,27.74
CO,08,06330,Salida School District R-32,"1,236",155,12.54
CO,08,06390,Sanford School District 6J,330,52,15.76
CO,08,06420,Sangre de Cristo School District RE-22J,200,39,19.50
CO,08,06450,Sargent School District RE-33J,174,35,20.11
CO,08,02580,School District 27J,"22,342","1,544",6.91
CO,08,03870,School District 49,"21,537","1,544",7.17
CO,08,06540,Sheridan School District 2,"1,286",245,19.05
CO,08,04140,Sierra Grande School District R-30,279,87,31.18
CO,08,06570,Silverton School District 1,79,17,21.52
CO,08,02130,South Conejos School District RE-10,279,65,23.30
CO,08,05910,South Routt School District RE-3,397,33,8.31
CO,08,06630,Springfield School District RE-4,295,65,22.03
CO,08,05370,St. Vrain Valley School District RE 1J,"33,479","2,503",7.48
CO,08,06660,Steamboat Springs School District RE-2,"2,481",137,5.52
CO,08,06750,Strasburg School District 31J,"1,236",79,6.39
CO,08,06780,Stratton School District R-4,204,27,13.24
CO,08,06810,Summit School District RE-1,"3,611",224,6.20
CO,08,06840,Swink School District 33,259,66,25.48
CO,08,06870,Telluride School District R-1,855,61,7.13
CO,08,05400,Thompson School District R-2J,"19,364","1,778",9.18
CO,08,06960,Trinidad School District 1,"1,427",393,27.54
CO,08,03300,Upper Rio Grande School District C-7,507,95,18.74
CO,08,06690,Valley School District RE-1,"2,362",419,17.74
CO,08,06990,Vilas School District RE-5,61,15,24.59
CO,08,07110,Walsh School District RE-1,139,33,23.74
CO,08,04200,Weld County School District RE-1,"2,024",234,11.56
CO,08,04920,Weld County School District RE-3J,"3,260",320,9.82
CO,08,04020,Weld County School District RE-8,"2,849",403,14.15
CO,08,07140,Weldon Valley School District RE-20J,143,24,16.78
CO,08,05850,West End School District RE-2,231,64,27.71
CO,08,05070,West Grand School District 1-JT,524,60,11.45
CO,08,07230,Westminster Public School District,"12,797","2,004",15.66
CO,08,06480,Widefield School District 3,"11,867","1,201",10.12
CO,08,07290,Wiggins School District RE-50J,701,87,12.41
CO,08,07320,Wiley School District RE-13-JT,193,27,13.99
CO,08,07350,Windsor School District RE-4,"8,922",489,5.48
CO,08,07380,Woodland Park School District RE-2,"2,693",279,10.36
CO,08,07410,Woodlin School District R-104,86,21,24.42
CO,08,00017,Wray School District RD-2,806,123,15.26
CO,08,00016,Yuma School District 1,"1,034",186,17.99
CT,09,00030,Andover School District,213,14,6.57
CT,09,00060,Ansonia School District,"2,944",555,18.85
CT,09,00090,Ashford School District,376,43,11.44
CT,09,00120,Avon School District,"3,624",105,2.90
CT,09,00150,Barkhamsted School District,281,14,4.98
CT,09,00210,Berlin School District,"2,957",148,5.01
CT,09,00240,Bethany School District,418,18,4.31
CT,09,00270,Bethel School District,"3,437",286,8.32
CT,09,00330,Bloomfield School District,"2,562",330,12.88
CT,09,00360,Bolton School District,742,43,5.80
CT,09,00390,Bozrah School District,310,34,10.97
CT,09,00420,Branford School District,"3,139",227,7.23
CT,09,00450,Bridgeport School District,"24,617","6,123",24.87
CT,09,00510,Bristol School District,"8,869","1,303",14.69
CT,09,00540,Brookfield School District,"2,982",142,4.76
CT,09,00570,Brooklyn School District,"1,305",160,12.26
CT,09,00630,Canaan School District,83,10,12.05
CT,09,00660,Canterbury School District,809,82,10.14
CT,09,00690,Canton School District,"1,655",64,3.87
CT,09,00720,Chaplin School District,137,15,10.95
CT,09,00750,Cheshire School District,"4,895",158,3.23
CT,09,00780,Chester School District,217,18,8.29
CT,09,00810,Clinton School District,"1,691",119,7.04
CT,09,00840,Colchester School District,"2,589",112,4.33
CT,09,00870,Colebrook School District,74,4,5.41
CT,09,00900,Columbia School District,731,42,5.75
CT,09,00930,Cornwall School District,107,19,17.76
CT,09,00960,Coventry School District,"1,840",127,6.90
CT,09,00990,Cromwell School District,"2,035",100,4.91
CT,09,01020,Danbury School District,"12,509","2,037",16.28
CT,09,01050,Darien School District,"5,305",111,2.09
CT,09,01080,Deep River School District,287,18,6.27
CT,09,01110,Derby School District,"1,642",277,16.87
CT,09,01170,East Granby School District,900,34,3.78
CT,09,01200,East Haddam School District,"1,239",58,4.68
CT,09,01230,East Hampton School District,"1,859",74,3.98
CT,09,01260,East Hartford School District,"8,234","1,493",18.13
CT,09,01290,East Haven School District,"3,434",433,12.61
CT,09,01320,East Lyme School District,"2,618",156,5.96
CT,09,01350,East Windsor School District,"1,351",168,12.44
CT,09,01380,Eastford School District,227,21,9.25
CT,09,01410,Easton School District,"1,019",47,4.61
CT,09,01440,Ellington School District,"2,617",121,4.62
CT,09,01470,Enfield School District,"5,667",592,10.45
CT,09,01500,Essex School District,402,28,6.97
CT,09,01530,Fairfield School District,"10,637",482,4.53
CT,09,01560,Farmington School District,"4,365",192,4.40
CT,09,01590,Franklin School District,264,23,8.71
CT,09,01620,Glastonbury School District,"6,230",262,4.21
CT,09,01680,Granby School District,"1,924",72,3.74
CT,09,01710,Greenwich School District,"12,067",719,5.96
CT,09,01740,Griswold School District,"1,777",200,11.25
CT,09,01770,Groton School District,"4,692",531,11.32
CT,09,01800,Guilford School District,"3,594",108,3.01
CT,09,01860,Hamden School District,"7,625",923,12.10
CT,09,01890,Hampton School District,103,11,10.68
CT,09,01920,Hartford School District,"19,806","6,034",30.47
CT,09,01950,Hartland School District,269,21,7.81
CT,09,02010,Hebron School District,765,35,4.58
CT,09,02040,Kent School District,233,21,9.01
CT,09,02070,Killingly School District,"2,547",405,15.90
CT,09,02130,Lebanon School District,"1,088",77,7.08
CT,09,02160,Ledyard School District,"2,712",156,5.75
CT,09,02190,Lisbon School District,673,50,7.43
CT,09,02220,Litchfield School District,"1,040",70,6.73
CT,09,02280,Madison School District,"3,019",71,2.35
CT,09,02310,Manchester School District,"8,423","1,270",15.08
CT,09,02340,Mansfield School District,"1,110",109,9.82
CT,09,02370,Marlborough School District,522,21,4.02
CT,09,02400,Meriden School District,"9,562","1,733",18.12
CT,09,02490,Middletown School District,"5,398",685,12.69
CT,09,02520,Milford School District,"6,504",385,5.92
CT,09,02550,Monroe School District,"3,513",146,4.16
CT,09,02580,Montville School District,"2,564",235,9.17
CT,09,02640,Naugatuck School District,"4,957",657,13.25
CT,09,02670,New Britain School District,"11,669","2,937",25.17
CT,09,02700,New Canaan School District,"4,979",177,3.55
CT,09,02730,New Fairfield School District,"2,378",93,3.91
CT,09,02760,New Hartford School District,504,31,6.15
CT,09,02790,New Haven School District,"20,029","4,981",24.87
CT,09,02820,New London School District,"3,670",949,25.86
CT,09,02850,New Milford School District,"4,301",335,7.79
CT,09,02880,Newington School District,"4,222",283,6.70
CT,09,02910,Newtown School District,"4,853",179,3.69
CT,09,02940,Norfolk School District,96,7,7.29
CT,09,02970,North Branford School District,"1,957",89,4.55
CT,09,03000,North Canaan School District,274,34,12.41
CT,09,03030,North Haven School District,"3,575",178,4.98
CT,09,03060,North Stonington School District,794,47,5.92
CT,09,03090,Norwalk School District,"12,775","1,944",15.22
CT,09,03120,Norwich School District,"6,078","1,335",21.96
CT,09,03180,Old Saybrook School District,"1,185",82,6.92
CT,09,03210,Orange School District,"1,229",55,4.48
CT,09,03240,Oxford School District,"1,962",62,3.16
CT,09,03270,Plainfield School District,"2,416",388,16.06
CT,09,03300,Plainville School District,"2,304",226,9.81
CT,09,03330,Plymouth School District,"1,558",160,10.27
CT,09,03360,Pomfret School District,670,25,3.73
CT,09,03390,Portland School District,"1,401",82,5.85
CT,09,03420,Preston School District,716,56,7.82
CT,09,03480,Putnam School District,"1,336",239,17.89
CT,09,03510,Redding School District,"1,060",45,4.25
CT,09,03600,Regional High School District 01,674,56,8.31
CT,09,03630,Regional High School District 04,841,46,5.47
CT,09,03660,Regional High School District 05,"2,657",95,3.58
CT,09,03720,Regional High School District 07,919,40,4.35
CT,09,03750,Regional High School District 08,"1,386",48,3.46
CT,09,03780,Regional High School District 09,969,33,3.41
CT,09,03570,Regional High School District 11,386,33,8.55
CT,09,00005,Regional High School District 19,"1,065",89,8.36
CT,09,03515,Regional School District 06,927,60,6.47
CT,09,03520,Regional School District 10,"2,554",91,3.56
CT,09,03530,Regional School District 12,913,56,6.13
CT,09,03535,Regional School District 13,"1,747",70,4.01
CT,09,03536,Regional School District 14,"1,658",87,5.25
CT,09,03537,Regional School District 15,"4,093",156,3.81
CT,09,03538,Regional School District 16,"2,291",107,4.67
CT,09,03539,Regional School District 17,"2,190",99,4.52
CT,09,03540,Regional School District 18,"1,382",76,5.50
CT,09,03810,Ridgefield School District,"5,224",135,2.58
CT,09,03840,Rocky Hill School District,"2,984",157,5.26
CT,09,03900,Salem School District,700,32,4.57
CT,09,03930,Salisbury School District,401,25,6.23
CT,09,03960,Scotland School District,116,12,10.34
CT,09,03990,Seymour School District,"2,486",208,8.37
CT,09,04020,Sharon School District,168,19,11.31
CT,09,04050,Shelton School District,"5,564",389,6.99
CT,09,04080,Sherman School District,490,25,5.10
CT,09,04110,Simsbury School District,"4,664",157,3.37
CT,09,04140,Somers School District,"1,451",73,5.03
CT,09,04170,South Windsor School District,"5,018",172,3.43
CT,09,04230,Southington School District,"6,748",335,4.96
CT,09,04260,Sprague School District,465,58,12.47
CT,09,04290,Stafford School District,"1,605",173,10.78
CT,09,04320,Stamford School District,"18,412","2,485",13.50
CT,09,04350,Sterling School District,549,86,15.66
CT,09,04380,Stonington School District,"2,398",194,8.09
CT,09,04440,Stratford School District,"7,858",892,11.35
CT,09,04470,Suffield School District,"2,363",81,3.43
CT,09,04500,Thomaston School District,"1,054",66,6.26
CT,09,04530,Thompson School District,"1,267",143,11.29
CT,09,04560,Tolland School District,"2,512",77,3.07
CT,09,04590,Torrington School District,"4,627",750,16.21
CT,09,04620,Trumbull School District,"7,239",291,4.02
CT,09,04650,Union School District,99,5,5.05
CT,09,04680,Vernon School District,"3,612",627,17.36
CT,09,04710,Voluntown School District,360,29,8.06
CT,09,04740,Wallingford School District,"6,203",412,6.64
CT,09,04830,Waterbury School District,"20,385","5,364",26.31
CT,09,04860,Waterford School District,"2,865",217,7.57
CT,09,04890,Watertown School District,"3,161",208,6.58
CT,09,04920,West Hartford School District,"10,221",622,6.09
CT,09,04950,West Haven School District,"7,500","1,350",18.00
CT,09,04980,Westbrook School District,741,64,8.64
CT,09,05010,Weston School District,"2,445",78,3.19
CT,09,05040,Westport School District,"5,892",194,3.29
CT,09,05070,Wethersfield School District,"4,096",233,5.69
CT,09,05100,Willington School District,451,47,10.42
CT,09,05130,Wilton School District,"4,129",102,2.47
CT,09,05160,Winchester School District,"1,223",184,15.04
CT,09,05190,Windham School District,"3,321",926,27.88
CT,09,05250,Windsor Locks School District,"1,695",191,11.27
CT,09,05220,Windsor School District,"4,387",410,9.35
CT,09,05280,Wolcott School District,"2,496",167,6.69
CT,09,05310,Woodbridge School District,815,40,4.91
CT,09,05370,Woodstock School District,"1,464",89,6.08
DE,10,00080,Appoquinimink School District,"14,299",886,6.20
DE,10,01240,Brandywine School District,"13,902","1,720",12.37
DE,10,00180,Caesar Rodney School District,"8,824","1,110",12.58
DE,10,00170,Cape Henlopen School District,"6,514",838,12.86
DE,10,00190,Capital School District,"9,327","1,925",20.64
DE,10,00200,Christina School District,"26,097","4,461",17.09
DE,10,00230,Colonial School District,"14,320","2,352",16.42
DE,10,00270,Delmar School District,"1,425",203,14.25
DE,10,00680,Indian River School District,"11,591","2,131",18.38
DE,10,00790,Lake Forest School District,"4,508",703,15.59
DE,10,00810,Laurel School District,"3,006",655,21.79
DE,10,01080,Milford School District,"5,136",846,16.47
DE,10,01300,Red Clay Consolidated School District,"21,540","2,977",13.82
DE,10,01530,Seaford School District,"4,342",925,21.30
DE,10,01620,Smyrna School District,"7,037",695,9.88
DE,10,01850,Woodbridge School District,"2,925",586,20.03
DC,11,00030,District of Columbia Public Schools,"85,076","21,233",24.96
FL,12,00030,Alachua County School District,"37,210","5,948",15.98
FL,12,00060,Baker County School District,"5,076","1,055",20.78
FL,12,00090,Bay County School District,"27,422","5,955",21.72
FL,12,00120,Bradford County School District,"4,141",868,20.96
FL,12,00150,Brevard County School District,"85,252","12,122",14.22
FL,12,00180,Broward County School District,"299,109","46,817",15.65
FL,12,00210,Calhoun County School District,"2,072",548,26.45
FL,12,00240,Charlotte County School District,"17,584","3,194",18.16
FL,12,00270,Citrus County School District,"17,985","4,153",23.09
FL,12,00300,Clay County School District,"39,654","4,420",11.15
FL,12,00330,Collier County School District,"48,179","8,411",17.46
FL,12,00360,Columbia County School District,"11,432","2,453",21.46
FL,12,00390,Dade County School District,"391,578","63,544",16.23
FL,12,00420,DeSoto County School District,"4,682","1,598",34.13
FL,12,00450,Dixie County School District,"2,393",735,30.71
FL,12,00480,Duval County School District,"161,624","32,409",20.05
FL,12,00510,Escambia County School District,"49,186","13,452",27.35
FL,12,00540,Flagler County School District,"15,426","2,625",17.02
FL,12,00570,Franklin County School District,"1,411",450,31.89
FL,12,00600,Gadsden County School District,"6,884","2,674",38.84
FL,12,00630,Gilchrist County School District,"2,743",593,21.62
FL,12,00660,Glades County School District,"1,392",300,21.55
FL,12,00690,Gulf County School District,"2,076",468,22.54
FL,12,00720,Hamilton County School District,"1,943",648,33.35
FL,12,00750,Hardee County School District,"4,929","1,171",23.76
FL,12,00780,Hendry County School District,"7,963","2,057",25.83
FL,12,00810,Hernando County School District,"28,542","4,886",17.12
FL,12,00840,Highlands County School District,"13,333","2,809",21.07
FL,12,00870,Hillsborough County School District,"240,620","45,523",18.92
FL,12,00900,Holmes County School District,"3,088",871,28.21
FL,12,00930,Indian River County School District,"18,778","3,410",18.16
FL,12,00960,Jackson County School District,"6,664","1,701",25.53
FL,12,00990,Jefferson County School District,"1,860",433,23.28
FL,12,01020,Lafayette County School District,"1,271",305,24.00
FL,12,01050,Lake County School District,"57,289","8,434",14.72
FL,12,01080,Lee County School District,"101,058","16,670",16.50
FL,12,01110,Leon County School District,"40,469","6,449",15.94
FL,12,01140,Levy County School District,"6,477","1,987",30.68
FL,12,01170,Liberty County School District,"1,027",260,25.32
FL,12,01200,Madison County School District,"2,525",731,28.95
FL,12,01230,Manatee County School District,"54,916","7,824",14.25
FL,12,01260,Marion County School District,"54,054","10,088",18.66
FL,12,01290,Martin County School District,"19,481","2,923",15.00
FL,12,01320,Monroe County School District,"9,417","1,597",16.96
FL,12,01350,Nassau County School District,"13,931","1,694",12.16
FL,12,01380,Okaloosa County School District,"34,656","4,399",12.69
FL,12,01410,Okeechobee County School District,"6,245","1,708",27.35
FL,12,01440,Orange County School District,"226,400","42,646",18.84
FL,12,01470,Osceola County School District,"73,681","14,379",19.52
FL,12,01500,Palm Beach County School District,"210,361","31,819",15.13
FL,12,01530,Pasco County School District,"90,622","14,265",15.74
FL,12,01560,Pinellas County School District,"112,262","17,544",15.63
FL,12,01590,Polk County School District,"124,522","25,724",20.66
FL,12,01620,Putnam County School District,"11,802","4,609",39.05
FL,12,01650,Santa Rosa County School District,"32,226","3,200",9.93
FL,12,01680,Sarasota County School District,"47,868","6,095",12.73
FL,12,01710,Seminole County School District,"74,354","7,461",10.03
FL,12,01740,St. Johns County School District,"49,839","2,902",5.82
FL,12,01770,St. Lucie County School District,"50,994","8,855",17.36
FL,12,01800,Sumter County School District,"7,184","1,665",23.18
FL,12,01830,Suwannee County School District,"7,146","1,880",26.31
